"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-29","1.57","80",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-30","0.00","82",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2024-12-31",,"82",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-01",,"81",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-02",,"81",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-03",,"82",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-04",,"80",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-05",,"78",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-06",,"75",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-07",,"78",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-08",,"80",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-09",,"79",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-10",,"79",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-11",,"77",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-12",,"78",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-13",,"81",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-14",,"80",,
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-15",,"78",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-16",,"78",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-17",,"82",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-18",,"82",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-19",,"81",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-20",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-21",,"80",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-22",,"79",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2025-01-23",,"77",,"65"
